wavelength_nm,order,slices,grid,epsilon_gold_real,epsilon_gold_imag,reflectance,transmittance_far,absorptance_total,motheye_absorptance,substrate_absorptance,power_into_substrate,passivity_warning,reduced_dimension,full_dimension,symmetry_reduction,symmetry_irrep,runtime_seconds
550.0,4,48,256,-5.371371338856619,2.3581635829859637,0.03956038579645283,0.0,0.9604396142035472,0.8387292904232851,0.12171032378026207,0.12171032378026207,False,21,162,D6-E1-source-row,E1,4.52313428898924
700.0,4,48,256,-13.754263491271207,1.9104862668338753,0.48659680621656165,0.0,0.5134031937834383,0.4022426422861615,0.11116055149727684,0.11116055149727684,False,21,162,D6-E1-source-row,E1,4.552993578981841
400.0,5,48,256,-1.0611633694991678,4.9206873818569425,1.8649007504174688e-06,0.0,0.9999981350992496,0.9723086634443536,0.027689471654895936,0.027689471654895936,False,31,242,D6-E1-source-row,E1,6.020625300006941
550.0,5,48,256,-5.371371338856619,2.3581635829859637,0.03588321815458754,0.0,0.9641167818454125,0.8407482734466868,0.12336850839872572,0.12336850839872572,False,31,242,D6-E1-source-row,E1,5.959154188982211
700.0,5,48,256,-13.754263491271207,1.9104862668338753,0.5020034164830504,0.0,0.49799658351694964,0.3880988402743039,0.10989774324264572,0.10989774324264572,False,31,242,D6-E1-source-row,E1,5.843371633003699
400.0,6,48,256,-1.0611633694991678,4.9206873818569425,3.7215508509304626e-05,0.0,0.9999627844914907,0.9720483449780787,0.02791443951341197,0.02791443951341197,False,43,338,D6-E1-source-row,E1,7.538350629009074
550.0,6,48,256,-5.371371338856619,2.3581635829859637,0.03577728598466531,0.0,0.9642227140153347,0.8408664630899122,0.12335625092542243,0.12335625092542243,False,43,338,D6-E1-source-row,E1,7.61226017298759
700.0,6,48,256,-13.754263491271207,1.9104862668338753,0.5029121241763553,0.0,0.49708787582364466,0.38810539196192306,0.10898248386172159,0.10898248386172159,False,43,338,D6-E1-source-row,E1,7.856065956992097
400.0,6,48,96,-1.0611633694991678,4.9206873818569425,4.4788680867922656e-05,0.0,0.9999552113191321,0.9720193496196617,0.02793586169947038,0.02793586169947038,False,43,338,D6-E1-source-row,E1,7.605694324010983
550.0,6,48,96,-5.371371338856619,2.3581635829859637,0.03654375889722808,0.0,0.963456241102772,0.8400561095509534,0.12340013155181848,0.12340013155181848,False,43,338,D6-E1-source-row,E1,7.51472143700812
